#file-version:0.1
#Dict{String,Any}(Pair{String,Any}("estimation-args", Dict{String,Any}(Pair{String,Any}("num-per-dim", 0x0000000000000032),Pair{String,Any}("bounds", [-1.0 1.0; -1.0 1.0]))),Pair{String,Any}("model-params", Dict{String,Any}(Pair{String,Any}("sd-boundary", 0.5))),Pair{String,Any}("model", "simple-test"),Pair{String,Any}("dimension", 2))
[-1.0, -1.0]; 0
[-0.959184, -1.0]; 0
[-0.918367, -1.0]; 0
[-0.877551, -1.0]; 0
[-0.836735, -1.0]; 0
[-0.795918, -1.0]; 0
[-0.755102, -1.0]; 0
[-0.714286, -1.0]; 0
[-0.673469, -1.0]; 0
[-0.632653, -1.0]; 0
[-0.591837, -1.0]; 0
[-0.55102, -1.0]; 0
[-0.510204, -1.0]; 0
[-0.469388, -1.0]; 0
[-0.428571, -1.0]; 0
[-0.387755, -1.0]; 0
[-0.346939, -1.0]; 0
[-0.306122, -1.0]; 0
[-0.265306, -1.0]; 0
[-0.22449, -1.0]; 0
[-0.183673, -1.0]; 0
[-0.142857, -1.0]; 0
[-0.102041, -1.0]; 0
[-0.0612245, -1.0]; 0
[-0.0204082, -1.0]; 0
[0.0204082, -1.0]; 0
[0.0612245, -1.0]; 0
[0.102041, -1.0]; 0
[0.142857, -1.0]; 0
[0.183673, -1.0]; 0
[0.22449, -1.0]; 0
[0.265306, -1.0]; 0
[0.306122, -1.0]; 0
[0.346939, -1.0]; 0
[0.387755, -1.0]; 0
[0.428571, -1.0]; 0
[0.469388, -1.0]; 0
[0.510204, -1.0]; 0
[0.55102, -1.0]; 0
[0.591837, -1.0]; 0
[0.632653, -1.0]; 0
[0.673469, -1.0]; 0
[0.714286, -1.0]; 0
[0.755102, -1.0]; 0
[0.795918, -1.0]; 0
[0.836735, -1.0]; 0
[0.877551, -1.0]; 0
[0.918367, -1.0]; 0
[0.959184, -1.0]; 0
[1.0, -1.0]; 0
[-1.0, -0.959184]; 0
[-0.959184, -0.959184]; 0
[-0.918367, -0.959184]; 0
[-0.877551, -0.959184]; 0
[-0.836735, -0.959184]; 0
[-0.795918, -0.959184]; 0
[-0.755102, -0.959184]; 0
[-0.714286, -0.959184]; 0
[-0.673469, -0.959184]; 0
[-0.632653, -0.959184]; 0
[-0.591837, -0.959184]; 0
[-0.55102, -0.959184]; 0
[-0.510204, -0.959184]; 0
[-0.469388, -0.959184]; 0
[-0.428571, -0.959184]; 0
[-0.387755, -0.959184]; 0
[-0.346939, -0.959184]; 0
[-0.306122, -0.959184]; 0
[-0.265306, -0.959184]; 0
[-0.22449, -0.959184]; 0
[-0.183673, -0.959184]; 0
[-0.142857, -0.959184]; 0
[-0.102041, -0.959184]; 0
[-0.0612245, -0.959184]; 0
[-0.0204082, -0.959184]; 0
[0.0204082, -0.959184]; 0
[0.0612245, -0.959184]; 0
[0.102041, -0.959184]; 0
[0.142857, -0.959184]; 0
[0.183673, -0.959184]; 0
[0.22449, -0.959184]; 0
[0.265306, -0.959184]; 0
[0.306122, -0.959184]; 0
[0.346939, -0.959184]; 0
[0.387755, -0.959184]; 0
[0.428571, -0.959184]; 0
[0.469388, -0.959184]; 0
[0.510204, -0.959184]; 0
[0.55102, -0.959184]; 0
[0.591837, -0.959184]; 0
[0.632653, -0.959184]; 0
[0.673469, -0.959184]; 0
[0.714286, -0.959184]; 0
[0.755102, -0.959184]; 0
[0.795918, -0.959184]; 0
[0.836735, -0.959184]; 0
[0.877551, -0.959184]; 0
[0.918367, -0.959184]; 0
[0.959184, -0.959184]; 0
[1.0, -0.959184]; 0
[-1.0, -0.918367]; 0
[-0.959184, -0.918367]; 0
[-0.918367, -0.918367]; 0
[-0.877551, -0.918367]; 0
[-0.836735, -0.918367]; 0
[-0.795918, -0.918367]; 0
[-0.755102, -0.918367]; 0
[-0.714286, -0.918367]; 0
[-0.673469, -0.918367]; 0
[-0.632653, -0.918367]; 0
[-0.591837, -0.918367]; 0
[-0.55102, -0.918367]; 0
[-0.510204, -0.918367]; 0
[-0.469388, -0.918367]; 0
